EmailSubject,EmailContent,OpenStatus
Special Offer: 23% Discount Today!,"Dear customer, don't miss out on our exclusive offer of 29% off on all products today! This is a limited-time deal.",1
Special Offer: 44% Discount Today!,"Dear customer, don't miss out on our exclusive offer of 36% off on all products today! This is a limited-time deal.",1
Special Offer: 39% Discount Today!,"Dear customer, don't miss out on our exclusive offer of 38% off on all products today! This is a limited-time deal.",1
Special Offer: 33% Discount Today!,"Dear customer, don't miss out on our exclusive offer of 20% off on all products today! This is a limited-time deal.",1
Special Offer: 45% Discount Today!,"Dear customer, don't miss out on our exclusive offer of 44% off on all products today! This is a limited-time deal.",1
Special Offer: 47% Discount Today!,"Dear customer, don't miss out on our exclusive offer of 15% off on all products today! This is a limited-time deal.",0
Special Offer: 40% Discount Today!,"Dear customer, don't miss out on our exclusive offer of 14% off on all products today! This is a limited-time deal.",0
Special Offer: 41% Discount Today!,"Dear customer, don't miss out on our exclusive offer of 24% off on all products today! This is a limited-time deal.",1
Special Offer: 47% Discount Today!,"Dear customer, don't miss out on our exclusive offer of 10% off on all products today! This is a limited-time deal.",0
Special Offer: 32% Discount Today!,"Dear customer, don't miss out on our exclusive offer of 10% off on all products today! This is a limited-time deal.",0
Special Offer: 48% Discount Today!,"Dear customer, don't miss out on our exclusive offer of 26% off on all products today! This is a limited-time deal.",0
Special Offer: 15% Discount Today!,"Dear customer, don't miss out on our exclusive offer of 60% off on all products today! This is a limited-time deal.",1
Special Offer: 27% Discount Today!,"Dear customer, don't miss out on our exclusive offer of 37% off on all products today! This is a limited-time deal.",1
Special Offer: 54% Discount Today!,"Dear customer, don't miss out on our exclusive offer of 42% off on all products today! This is a limited-time deal.",0
Special Offer: 27% Discount Today!,"Dear customer, don't miss out on our exclusive offer of 39% off on all products today! This is a limited-time deal.",1
Special Offer: 58% Discount Today!,"Dear customer, don't miss out on our exclusive offer of 16% off on all products today! This is a limited-time deal.",1
Special Offer: 58% Discount Today!,"Dear customer, don't miss out on our exclusive offer of 45% off on all products today! This is a limited-time deal.",0
Special Offer: 58% Discount Today!,"Dear customer, don't miss out on our exclusive offer of 54% off on all products today! This is a limited-time deal.",1
Special Offer: 18% Discount Today!,"Dear customer, don't miss out on our exclusive offer of 36% off on all products today! This is a limited-time deal.",1
Special Offer: 28% Discount Today!,"Dear customer, don't miss out on our exclusive offer of 13% off on all products today! This is a limited-time deal.",1
Special Offer: 46% Discount Today!,"Dear customer, don't miss out on our exclusive offer of 10% off on all products today! This is a limited-time deal.",0
Special Offer: 30% Discount Today!,"Dear customer, don't miss out on our exclusive offer of 42% off on all products today! This is a limited-time deal.",0
Special Offer: 39% Discount Today!,"Dear customer, don't miss out on our exclusive offer of 26% off on all products today! This is a limited-time deal.",0
Special Offer: 17% Discount Today!,"Dear customer, don't miss out on our exclusive offer of 52% off on all products today! This is a limited-time deal.",1
Special Offer: 12% Discount Today!,"Dear customer, don't miss out on our exclusive offer of 42% off on all products today! This is a limited-time deal.",1
Special Offer: 30% Discount Today!,"Dear customer, don't miss out on our exclusive offer of 20% off on all products today! This is a limited-time deal.",0
Special Offer: 37% Discount Today!,"Dear customer, don't miss out on our exclusive offer of 57% off on all products today! This is a limited-time deal.",0
